Province Name,Province Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Anhui,1,H.P.,hp,1221,1429,1684,2138,2371,2702,2914,3500,4144,4710,5023,5458,5877,6165,6195,6589,6267,7111,7934,7645,
Macao,2,H.P.,hp,11023,13792,15772,19435,20103,23373,28225,40370,48289,56052,61394,73194,76307,79760,80521,81006,81051,94720,123831,114839,
Beijing,3,H.P.,hp,3848,4429,5166,5803,6882,6395,7551,9981,11843,12427,14016,16759,17456,18682,19692,21638,40518,45583,56507,55126,
Chongqing,4,H.P.,hp,2200,2400,2500,2800,3100,3623,4172,4741,4867,5024,5272,5508,5848,6178,6419,6655,6741,7106,8625,8971,
Fujian,5,H.P.,hp,2916,3217,3581,4025,4315,4791,5715,6712,7264,7474,8062,8884,9516,9565,9665,9738,8058,8823,10535,10209,
Gansu,6,H.P.,hp,950,996,1043,1137,1226,1327,1552,1788,2042,2179,2334,2866,3169,3371,3649,3964,4376,4675,5992,5741,
Guangdong,7,H.P.,hp,3872,4185,4733,5248,6209,7171,8522,10273,11646,11063,12395,13829,14269,14479,14344,14234,12574,14089,15583,14271,
Guangxi,8,H.P.,hp,1113,1183,1229,1319,1481,1576,1741,1871,2075,2095,2283,2569,2706,2804,2893,3039,6101,7575,8393,7613,
Guizhou,9,H.P.,hp,664,730,800,884,990,1074,1289,1476,1623,1818,1911,2152,2218,2286,2392,2515,4767,5518,5920,5561,
Hainan,10,H.P.,hp,1457,1493,1528,1729,1904,2148,2802,3624,3986,3978,4613,4701,5067,6022,6934,7656,8541,10005,10994,11375,
Heibei,11,H.P.,hp,1564,1621,1739,2148,2376,2535,3009,3621,4230,4372,4674,5117,5123,5668,6391,6887,3906,5298,7407,7212,
Heilongjiang,12,H.P.,hp,760,801,845,950,1076,1291,1409,1632,1915,2027,2251,2557,2811,3113,3352,3627,4180,5026,6953,6633,
Henan,13,H.P.,hp,1013,1104,1205,1331,1468,1595,1779,2049,2154,2244,2435,2734,2944,3148,3354,3669,4465,5488,7310,6977,
Hongkong,14,H.P.,hp,9495,13145,16281,17189,19705,26596,29413,31247,30663,34003,36556,38373,46057,46573,48162,49003,52320,59894,8956,39718,
Hubei,15,H.P.,hp,2100,2490,2788,3673,3968,4327,4467,4678,4796,5033,5507,6161,7024,7701,8311,8791,6012,7234,8025,8577,
Hunan,16,H.P.,hp,2626,3034,3323,3579,4127,4553,5023,5510,6095,5685,5803,6294,6933,7353,7732,8376,5410,6373,8025,7587,
Jilin,17,H.P.,hp,1684,1835,2073,2388,2560,2780,3175,3591,3036,3276,3471,3824,4173,4576,4818,5209,5071,5677,7829,7478,
Jiangsu,18,H.P.,hp,3903,4306,4490,4886,5503,6228,7259,8342,9192,9424,10014,10988,11808,12177,12530,13036,9345,10420,13920,13836,
Jiangxi,19,H.P.,hp,909,1006,1205,1379,1568,1713,1832,2049,2357,2781,3144,3658,3907,3971,4068,4179,4853,5915,7569,7234,
Liaoning,20,H.P.,hp,2459,2757,3056,3459,4004,4520,5065,5765,6598,7033,7640,8312,8901,9329,9680,9970,6277,7117,9229,8690,
Neimenggu,21,H.P.,hp,1501,1306,1607,1949,2364,2777,3297,3986,4552,5074,5444,6454,7563,8825,9625,9836,5112,6709,8702,8091,
Ningxia,22,H.P.,hp,940,1018,1185,1320,1470,1656,1918,2199,2448,2702,3043,3395,3878,4374,4773,5002,5024,6220,8311,8232,
Qinghai,23,H.P.,hp,700,745,791,880,968,1049,1334,1642,3163,3149,3625,4205,4778,5181,5337,5562,4916,6166,7535,7173,
Shandong,24,H.P.,hp,1322,1411,1511,1625,1766,1928,2257,2585,2911,3262,3768,4441,4974,5366,5516,5568,6879,7664,10054,9610,
Shanghai,25,H.P.,hp,7936,8778,9580,10472,11657,13803,15427,19154,21754,23603,26335,30097,31472,32260,33345,35550,46454,60371,65482,80583,
Shanxi_one,26,H.P.,hp,721,800,881,951,1038,1166,1382,1553,1764,1871,2135,2432,2565,2657,2777,2872,3859,4824,7020,6806,
Shanxi_three,27,H.P.,hp,1940,2052,2219,2407,2612,2862,3139,3450,4049,4338,4811,5472,5948,6301,6615,6926,5415,6569,8341,8039,
Sichuan,28,H.P.,hp,1305,2442,1543,1704,1893,2057,2393,2678,3152,3304,3613,4057,4364,4550,4712,4915,5820,6724,7553,7358,
Taiwan,29,H.P.,hp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tianjin,30,H.P.,hp,3036,3599,3929,4358,4916,5708,7530,9285,10035,11288,11764,12545,14093,14591,14760,15211,22625,28346,17598,16104,
Xinjiang,31,H.P.,hp,613,632,660,760,873,1033,1389,1751,2057,2366,2919,3462,4069,5070,5843,6591,3727,6493,6468,6217,
Xizang,32,H.P.,hp,380,416,448,491,553,616,689,853,1057,1184,1451,1575,1733,2158,2343,2615,5483,6493,9432,8568,
Yunnan,33,H.P.,hp,770,844,926,1056,1119,1377,1569,1917,2215,2394,2713,2947,3267,3653,3924,4358,4933,5665,7128,6856,
Zhejiang,34,H.P.,hp,3906,4371,4687,5036,5449,6235,7277,8737,10991,11139,12520,13625,14569,15931,17434,18936,11253,12935,15628,15210,
